run_label,stage,source,suite_id,benchmark_tier,state_pool_mode_requested,state_pool_mode_used,strict_equal_quality_comparison_valid,quality_superiority_comparison_valid,formal_superiority_claim_allowed,formal_quality_superiority_claim_allowed,formal_efficiency_claim_allowed,formal_efficiency_superiority_claim_allowed,serialized_latency_superiority_claim_allowed,claim_restriction,formal_compare_full_registry_coverage,formal_compare_case_count,formal_compare_family_count,formal_external_claim_kind,timing_execution_contract,timing_delta_direction
core,r01_08_dev_compare_api_local_memfd,work/r01_08_dev_compare_api_local_memfd/runtime/api/external/benchmark_reports/v2-local-api-non-kv-20260709_002546-core-r01_08_dev_compare_api_local_memfd-cold-start-compare-external-api.json,v2-local-api-non-kv-20260709_002546-core-r01_08_dev_compare_api_local_memfd-cold-start-compare-external-api,dev,,,,,,,,,,dev_fixed_answer_external_fairness_only_not_formal_financial_superiority,,,,,,
core,r01_13_flagship_ablation_api_local,work/r01_13_flagship_ablation_api_local/runtime/flagship-ablation/fixed-external-compare/benchmark_reports/v2-local-api-non-kv-20260709_002546-core-r01_13_flagship_ablation_api_local-non-text-flagship-ablation-external-compare.json,v2-local-api-non-kv-20260709_002546-core-r01_13_flagship_ablation_api_local-non-text-flagship-ablation-external-compare,dev,auto,shared_memory,true,false,false,false,false,false,false,dev_fixed_answer_external_fairness_gate_passed_not_formal_superiority,false,3,1,none,serialized_statebus_then_external_within_each_mode_v1,statebus_minus_external
core,r01_13_flagship_ablation_api_local,work/r01_13_flagship_ablation_api_local/runtime/flagship-ablation/fixed-external-compare/benchmark_reports/v2-local-api-non-kv-20260709_002546-core-r01_13_flagship_ablation_api_local-non-text-flagship-ablation-external-compare-api.json,v2-local-api-non-kv-20260709_002546-core-r01_13_flagship_ablation_api_local-non-text-flagship-ablation-external-compare,dev,,,1,0,,,0,0,,,,,,,,
core,r01_13_flagship_ablation_api_local,work/r01_13_flagship_ablation_api_local/runtime/flagship-ablation/fixed-external-compare/api/external/benchmark_reports/v2-local-api-non-kv-20260709_002546-core-r01_13_flagship_ablation_api_local-non-text-flagship-ablation-external-compare-external-api.json,v2-local-api-non-kv-20260709_002546-core-r01_13_flagship_ablation_api_local-non-text-flagship-ablation-external-compare-external-api,dev,,,,,,,,,,dev_fixed_answer_external_fairness_only_not_formal_financial_superiority,,,,,,
core,lr02_14_formal_compare_latency_rerun_api_local_memfd,work/lr02_14_formal_compare_latency_rerun_api_local_memfd/runtime/benchmark_reports/v2-local-api-non-kv-20260709_002546-core-lr02_14_formal_compare_latency_rerun_api_local_memfd-cold-start-compare.json,v2-local-api-non-kv-20260709_002546-core-lr02_14_formal_compare_latency_rerun_api_local_memfd-cold-start-compare,formal,memfd,memfd,false,false,false,false,false,false,false,external_compare_debug_only_until_strict_or_quality_gate_passes,true,25,5,debug_only,serialized_formal_compare_latency_rerun_v1,statebus_minus_external
core,lr02_14_formal_compare_latency_rerun_api_local_memfd,work/lr02_14_formal_compare_latency_rerun_api_local_memfd/runtime/benchmark_reports/v2-local-api-non-kv-20260709_002546-core-lr02_14_formal_compare_latency_rerun_api_local_memfd-cold-start-compare-api.json,v2-local-api-non-kv-20260709_002546-core-lr02_14_formal_compare_latency_rerun_api_local_memfd-cold-start-compare,formal,,,0,0,,,0,0,,,,,,,,
core,lr02_14_formal_compare_latency_rerun_api_local_memfd,work/lr02_14_formal_compare_latency_rerun_api_local_memfd/runtime/api/external/benchmark_reports/v2-local-api-non-kv-20260709_002546-core-lr02_14_formal_compare_latency_rerun_api_local_memfd-cold-start-compare-external-api.json,v2-local-api-non-kv-20260709_002546-core-lr02_14_formal_compare_latency_rerun_api_local_memfd-cold-start-compare-external-api,formal,,,,,,,,,,dev_fixed_answer_external_fairness_only_not_formal_financial_superiority,,,,,,
lr01,lr01_14_formal_compare_latency_rerun_api_local_memfd,artifacts/stages/lr01_14_formal_compare_latency_rerun_api_local_memfd/stdout.json,v2-local-api-non-kv-followup-20260709_083750-lr01-lr01_14_formal_compare_latency_rerun_api_local_memfd-cold-start-compare,formal,memfd,memfd,false,false,false,false,false,false,0,external_compare_debug_only_until_strict_or_quality_gate_passes,true,25,5,debug_only,serialized_formal_compare_latency_rerun_v1,statebus_minus_external
lr01,lr01_14_formal_compare_latency_rerun_api_local_memfd,work/lr01_14_formal_compare_latency_rerun_api_local_memfd/runtime/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-lr01-lr01_14_formal_compare_latency_rerun_api_local_memfd-cold-start-compare.json,v2-local-api-non-kv-followup-20260709_083750-lr01-lr01_14_formal_compare_latency_rerun_api_local_memfd-cold-start-compare,formal,memfd,memfd,false,false,false,false,false,false,false,external_compare_debug_only_until_strict_or_quality_gate_passes,true,25,5,debug_only,serialized_formal_compare_latency_rerun_v1,statebus_minus_external
lr01,lr01_14_formal_compare_latency_rerun_api_local_memfd,work/lr01_14_formal_compare_latency_rerun_api_local_memfd/runtime/benchmark_reports/v2-local-api-non-kv-followup-20260709_083750-lr01-lr01_14_formal_compare_latency_rerun_api_local_memfd-cold-start-compare-api.json,v2-local-api-non-kv-followup-20260709_083750-lr01-lr01_14_formal_compare_latency_rerun_api_local_memfd-cold-start-compare,formal,,,0,0,,,0,0,,,,,,,,
